cow_part,ambient_temp,humidity,mean_temp,max_temp,frame_std,sample_folder,delta_mean,delta_max,lactation,health_state,season
etc,17.6,83.2,24.43090163040635,26.14090163040635,3.3504630657458137,etc_1,6.830901630406348,8.54090163040635,1,healthy,winter
etc,17.6,83.2,24.43090163040635,26.14090163040635,3.3504630657458137,etc_1,6.830901630406348,8.54090163040635,1,healthy,winter
etc,17.6,83.2,24.43090163040635,26.14090163040635,3.3504630657458137,etc_1,6.830901630406348,8.54090163040635,1,healthy,winter
etc,17.6,83.2,24.43090163040635,26.14090163040635,3.3504630657458137,etc_1,6.830901630406348,8.54090163040635,1,healthy,winter
etc,17.6,83.2,24.834210162147507,26.14090163040635,3.685509372320395,etc_1,7.234210162147505,8.54090163040635,1,healthy,spring
etc,17.6,83.2,24.834210162147507,26.14090163040635,3.685509372320395,etc_1,7.234210162147505,8.54090163040635,1,healthy,spring
etc,17.6,83.2,24.834210162147507,26.14090163040635,3.685509372320395,etc_1,7.234210162147505,8.54090163040635,1,healthy,spring
etc,17.6,83.2,24.834210162147507,26.14090163040635,3.685509372320395,etc_1,7.234210162147505,8.54090163040635,1,healthy,spring
etc,17.6,83.2,25.79588600764361,26.14090163040635,4.188078832182267,etc_1,8.19588600764361,8.54090163040635,1,healthy,summer
etc,17.6,83.2,25.79588600764361,26.14090163040635,4.188078832182267,etc_1,8.19588600764361,8.54090163040635,1,healthy,summer
etc,17.6,83.2,25.79588600764361,26.14090163040635,4.188078832182267,etc_1,8.19588600764361,8.54090163040635,1,healthy,summer
etc,17.6,83.2,25.79588600764361,26.14090163040635,4.188078832182267,etc_1,8.19588600764361,8.54090163040635,1,healthy,summer
etc,17.0,82.9,23.754585170581255,26.244585170581253,2.9635981709061188,etc_10,6.754585170581254,9.244585170581253,1,healthy,winter
etc,17.0,82.9,23.754585170581255,26.244585170581253,2.9635981709061188,etc_10,6.754585170581254,9.244585170581253,1,healthy,winter
